Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
No retinopathy,Non Vegetarian,Snacks,"Bisi Bele Bath, Oats Idli, Pumpkin Soup, Rajma Curry, Tandoori Chicken, Vegetable Upma",51,9,21,9,500,Cycling,Excess Salt,18-25,West,27.8,Get enough sleep to support overall health.,Wednesday
Proliferative Retinopathy,Vegetarian,Dinner,"Baingan Bharta, Cabbage Stir Fry, Chickpea Curry, Grilled Salmon, Millet Porridge, Vegetable Handvo",50,11,13,13,441,Swimming,Sugary Foods,60+,West,21.1,Limit your intake of caffeine and alcohol.,Thursday
Proliferative Retinopathy,Vegan,Snacks,"Almond Milk Smoothie, Baingan Bharta, Masala Idli, Oats Chilla, Rajma Pulao, Turkey Kebab",30,14,18,14,449,Yoga,Sugary Foods,18-25,East,29.2,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Moderate Retinopathy,Non Vegetarian,Snacks,"Barley Risotto, Bisi Bele Bath, Chia Pudding, Gatte ki Sabzi, Paneer Bhurji, Turkey Kebab",32,12,11,5,274,Strength Training,Refined Flour,46-60,East,26.9,Stay hydrated and drink at least 8 glasses of water daily.,Friday
No retinopathy,Vegan,Breakfast,"Chana Sundal, Dhokla, Methi Paratha, Spinach Khichdi, Sweet Potato Hash, Vegan Pancakes",34,7,12,12,482,Brisk Walking,Excess Salt,18-25,West,21.1,Limit your intake of caffeine and alcohol.,Monday
Severe Retinopathy,Non Vegetarian,Lunch,"Egg Paratha, Methi Paratha, Mutton Seekh, Oats Chilla, Rajma Curry, Tofu Bhurji",34,6,9,10,299,Strength Training,Deep Fried Items,46-60,Central,20.6,"Eat small, frequent meals to maintain blood sugar levels.",Tuesday
Mild Retinopathy,Vegetarian,Dinner,"Jeera Rice, Keema Pulao, Lauki Kofta, Mutton Biryani, Mutton Seekh, Quinoa Salad",43,12,19,5,264,Brisk Walking,Soft Drinks,26-35,Central,26.5,Practice mindfulness and stress-reducing activities.,Friday
Proliferative Retinopathy,Vegan,Breakfast,"Chana Sundal, Egg Muffins, Methi Thepla, Multigrain Sandwich, Rava Idli, Turkey Kebab",33,7,20,13,469,Yoga,Deep Fried Items,46-60,East,18.9,Avoid skipping meals and maintain consistent meal timings.,Thursday
Mild Retinopathy,Vegetarian,Breakfast,"Grilled Salmon, Kadhi with Rice, Rajma Curry, Roasted Foxnuts, Tofu Stir Fry, Vegetable Daliya",34,7,12,14,454,Stretching,Refined Flour,26-35,South,22,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Moderate Retinopathy,Vegan,Dinner,"Cabbage Stir Fry, Chana Sundal, Coconut Chutney, Masala Papad, Sweet Corn Salad, Vegetable Handvo",30,11,13,15,359,Brisk Walking,Processed Foods,60+,South,27,Limit your intake of caffeine and alcohol.,Saturday
No retinopathy,Vegan,Breakfast,"Almond Milk Smoothie, Baingan Bharta, Bajra Roti, Cabbage Stir Fry, Masala Egg Toast, Vegan Dum Biryani",43,7,10,10,473,Strength Training,Sugary Foods,60+,West,24.1,Avoid skipping meals and maintain consistent meal timings.,Tuesday
Severe Retinopathy,Non Vegetarian,Snacks,"Baingan Bharta, Bisi Bele Bath, Gatte ki Sabzi, Roasted Foxnuts, Turkey Kebab, Vegan Dum Biryani",35,14,21,7,469,Swimming,Sugary Foods,46-60,South,20.6,Get enough sleep to support overall health.,Friday
No retinopathy,Vegetarian,Lunch,"Coconut Chutney, Egg Paratha, Methi Paratha, Ragi Dosa, Sweet Corn Salad, Turkey Kebab",43,9,19,9,327,Stretching,Refined Flour,60+,Central,25.3,Practice mindfulness and stress-reducing activities.,Sunday
Moderate Retinopathy,Vegan,Dinner,"Avocado Toast, Barnyard Millet Pongal, Bisi Bele Bath, Boiled Egg Salad, Moong Dal Chilla, Stuffed Capsicum",32,12,12,10,490,Yoga,Processed Foods,46-60,Central,30,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
No retinopathy,Vegan,Lunch,"Avocado Toast, Chole with Bhatura, Millet Porridge, Paneer Bhurji, Pumpkin Dal, Sprouted Chana Salad",55,14,17,12,386,Swimming,Deep Fried Items,46-60,Central,27.2,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Avocado Toast, Cabbage Stir Fry, Rava Idli, Sweet Corn Salad, Tofu Bhurji, Tofu Stir Fry",51,10,13,8,380,Cycling,Deep Fried Items,60+,West,29,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Moderate Retinopathy,Non Vegetarian,Lunch,"Chicken Stew, Gatte ki Sabzi, Lauki Kofta, Masala Egg Toast, Masala Papad, Vegetable Daliya",42,11,17,5,362,Brisk Walking,Deep Fried Items,26-35,East,24.2,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
Severe Retinopathy,Vegetarian,Lunch,"Coconut Chutney, Egg Paratha, Oats Chilla, Oats Idli, Quinoa Salad, Vegan Pancakes",47,10,19,7,452,Stretching,Excess Salt,46-60,South,19,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Severe Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Avocado Toast, Masala Idli, Oats Chilla, Turkey Kebab, Vegetable Daliya",32,8,8,9,508,Cycling,Excess Salt,46-60,North,29.9,Limit your intake of caffeine and alcohol.,Wednesday
No retinopathy,Vegan,Lunch,"Aloo Paratha, Bajra Roti, Keema Pulao, Methi Thepla, Poha, Pumpkin Soup",52,7,20,10,329,Yoga,Sugary Foods,36-45,Central,22.5,Exercise regularly to maintain healthy weight and sugar levels.,Tuesday
No retinopathy,Vegetarian,Lunch,"Chicken Sandwich, Chickpea Curry, Handvo, Kadhi with Rice, Paneer Cutlet, Sprouted Chana Salad",51,12,22,8,307,Strength Training,Sugary Foods,26-35,South,29.6,Avoid skipping meals and maintain consistent meal timings.,Monday
Severe Retinopathy,Non Vegetarian,Breakfast,"Bisi Bele Bath, Daliya Upma, Multigrain Sandwich, Rajma Pulao, Sweet Potato Hash, Vegetable Upma",32,11,14,12,291,Stretching,Soft Drinks,36-45,North,21.4,Practice mindfulness and stress-reducing activities.,Friday
Mild Retinopathy,Vegetarian,Snacks,"Boiled Egg Salad, Coconut Chutney, Egg Paratha, Lauki Kofta, Oats Chilla, Spinach Rice",42,7,10,11,492,Swimming,Processed Foods,46-60,North,26.1,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Moderate Retinopathy,Vegetarian,Breakfast,"Bisi Bele Bath, Green Gram Curry, Handvo, Masala Papad, Oats Idli, Spinach Khichdi",55,12,8,10,444,Strength Training,Processed Foods,36-45,Central,19.5,Exercise regularly to maintain healthy weight and sugar levels.,Wednesday
No retinopathy,Vegan,Snacks,"Daliya Upma, Egg Paratha, Oats Idli, Rajma Curry, Sweet Potato Hash, Vegan Pancakes",53,13,22,11,462,Yoga,Soft Drinks,46-60,West,20.8,Exercise regularly to maintain healthy weight and sugar levels.,Tuesday
No retinopathy,Vegan,Breakfast,"Moong Dal Chilla, Paneer Cutlet, Ragi Dosa, Sweet Corn Salad, Tandoori Chicken, Tofu Bhurji",45,14,19,14,467,Strength Training,Excess Salt,18-25,Central,25.1,Practice mindfulness and stress-reducing activities.,Tuesday
Severe Retinopathy,Vegetarian,Lunch,"Green Gram Curry, Handvo, Kadhi with Rice, Pumpkin Dal, Tandoori Chicken, Vegan Dum Biryani",36,13,8,5,369,Brisk Walking,Sugary Foods,36-45,South,23.3,Avoid skipping meals and maintain consistent meal timings.,Tuesday
Moderate Retinopathy,Non Vegetarian,Snacks,"Barley Risotto, Chickpea Curry, Oats Chilla, Rajma Pulao, Sprouted Chana Salad, Vegetable Daliya",40,14,10,9,490,Stretching,Processed Foods,60+,West,22,Limit your intake of caffeine and alcohol.,Sunday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Aloo Paratha, Egg Muffins, Masala Idli, Masoor Dal, Quinoa Salad, Sweet Potato Hash",36,13,20,6,429,Brisk Walking,Sugary Foods,26-35,North,18.1,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Moderate Retinopathy,Vegan,Dinner,"Amaranth Dal, Avocado Toast, Egg Bhurji, Fish Curry, Lauki Kofta, Palak Paneer",45,9,20,10,377,Yoga,Excess Salt,36-45,West,25.1,Limit your intake of caffeine and alcohol.,Saturday
Proliferative Retinopathy,Vegetarian,Breakfast,"Amaranth Dal, Chia Pudding, Masala Makhanas, Masoor Dal, Paneer Bhurji, Rava Idli",55,13,19,15,352,Brisk Walking,Excess Salt,60+,Central,19.7,Limit your intake of caffeine and alcohol.,Saturday
Proliferative Retinopathy,Vegetarian,Lunch,"Baingan Bharta, Mutton Seekh, Oats Chilla, Paneer Bhurji, Pumpkin Dal, Turkey Kebab",54,14,13,7,309,Yoga,Excess Salt,36-45,West,26.9,Avoid skipping meals and maintain consistent meal timings.,Sunday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Cabbage Stir Fry, Chole with Bhatura, Fish Korma, Kadhi Pakora, Palak Kofta, Pumpkin Dal",51,9,12,7,414,Brisk Walking,Deep Fried Items,26-35,West,28.9,Keep a food diary to monitor your eating habits.,Wednesday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Chia Pudding, Chicken Stew, Gatte ki Sabzi, Kadhi with Rice, Lauki Kofta, Stuffed Tinda",45,10,10,6,507,Yoga,Deep Fried Items,18-25,Central,26,Keep a food diary to monitor your eating habits.,Sunday
No retinopathy,Vegan,Snacks,"Cabbage Stir Fry, Chana Sundal, Daliya Upma, Fish Korma, Palak Paneer, Tofu Stir Fry",50,6,8,9,425,Stretching,Deep Fried Items,26-35,Central,27.6,Limit your intake of caffeine and alcohol.,Wednesday
No retinopathy,Non Vegetarian,Dinner,"Avocado Toast, Boiled Egg Salad, Chicken Stew, Kadhi with Rice, Spinach Rice, Vegetable Handvo",42,13,21,9,510,Yoga,Sugary Foods,26-35,Central,20.4,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
No retinopathy,Non Vegetarian,Dinner,"Amaranth Dal, Jeera Rice, Lauki Curry, Oats Chilla, Turkey Kebab, Vegetable Daliya",42,10,9,14,317,Yoga,Sugary Foods,18-25,West,21.7,Get enough sleep to support overall health.,Sunday
Moderate Retinopathy,Non Vegetarian,Lunch,"Amaranth Dal, Egg Bhurji, Green Gram Curry, Masala Idli, Masala Papad, Methi Paratha",33,14,16,11,320,Yoga,Excess Salt,60+,North,20.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Mild Retinopathy,Vegetarian,Breakfast,"Barley Risotto, Cabbage Stir Fry, Masala Papad, Sweet Corn Salad, Vegan Pancakes, Vegetable Daliya",53,11,21,12,476,Brisk Walking,Deep Fried Items,46-60,North,29.3,Limit your intake of caffeine and alcohol.,Tuesday
No retinopathy,Non Vegetarian,Dinner,"Bajra Roti, Barley Risotto, Barnyard Millet Pongal, Chia Pudding, Kadhi with Rice, Rajma Pulao",55,13,10,10,253,Swimming,Deep Fried Items,18-25,East,24.2,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Severe Retinopathy,Vegan,Lunch,"Barley Risotto, Boiled Egg Salad, Fish Curry, Kadhi Pakora, Pumpkin Soup, Tandoori Chicken",35,8,11,6,379,Yoga,Refined Flour,18-25,West,25.3,Limit your intake of caffeine and alcohol.,Sunday
No retinopathy,Vegetarian,Breakfast,"Cabbage Stir Fry, Chicken Sandwich, Kadhi with Rice, Lauki Curry, Methi Thepla, Vegan Pancakes",41,8,14,12,297,Cycling,Refined Flour,46-60,West,28.1,Limit your intake of caffeine and alcohol.,Sunday
Severe Retinopathy,Vegetarian,Breakfast,"Aloo Paratha, Multigrain Sandwich, Poha, Roasted Foxnuts, Spinach Rice, Tomato Shorba",51,11,18,11,380,Stretching,Processed Foods,26-35,South,23.6,Limit your intake of caffeine and alcohol.,Friday
Proliferative Retinopathy,Vegan,Snacks,"Kadhi Pakora, Masala Papad, Mutton Seekh, Oats Idli, Roasted Foxnuts, Sweet Corn Salad",36,9,18,15,330,Swimming,Processed Foods,36-45,North,23.1,Avoid skipping meals and maintain consistent meal timings.,Sunday
No retinopathy,Vegetarian,Breakfast,"Bisi Bele Bath, Chole with Bhatura, Coconut Chutney, Fish Korma, Grilled Salmon, Pumpkin Dal",55,13,19,12,259,Brisk Walking,Refined Flour,46-60,East,21.2,Avoid skipping meals and maintain consistent meal timings.,Sunday
Severe Retinopathy,Vegan,Lunch,"Avocado Toast, Bisi Bele Bath, Grilled Salmon, Masala Idli, Methi Thepla, Tofu Bhurji",42,12,12,5,335,Cycling,Processed Foods,18-25,East,29.3,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Proliferative Retinopathy,Vegetarian,Breakfast,"Chana Sundal, Chickpea Curry, Coconut Chutney, Methi Thepla, Mutton Seekh, Vegetable Upma",52,10,20,6,383,Cycling,Sugary Foods,36-45,South,29.2,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Moderate Retinopathy,Vegan,Breakfast,"Barley Risotto, Chana Sundal, Chicken Stew, Egg Bhurji, Oats Idli, Sweet Corn Salad",52,10,16,12,326,Brisk Walking,Soft Drinks,60+,South,24.2,Limit your intake of caffeine and alcohol.,Friday
Moderate Retinopathy,Vegetarian,Snacks,"Chana Sundal, Egg Bhurji, Lauki Kofta, Rajma Pulao, Sprouted Chana Salad, Stuffed Capsicum",34,10,16,6,354,Cycling,Excess Salt,60+,East,26.7,"Include high-fiber foods like oats, vegetables, and legumes.",Monday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Boiled Egg Salad, Masala Makhanas, Millet Porridge, Rajma Pulao, Roasted Foxnuts, Tomato Shorba",34,6,17,10,374,Cycling,Deep Fried Items,60+,West,20.4,Practice mindfulness and stress-reducing activities.,Friday
No retinopathy,Non Vegetarian,Snacks,"Egg Paratha, Keema Pulao, Oats Chilla, Ragi Dosa, Rajma Curry, Turkey Kebab",34,7,8,14,345,Brisk Walking,Processed Foods,60+,South,18.7,Practice mindfulness and stress-reducing activities.,Thursday
Moderate Retinopathy,Non Vegetarian,Dinner,"Aloo Paratha, Barnyard Millet Pongal, Masoor Dal, Moong Dal Chilla, Paneer Cutlet, Vegan Dum Biryani",37,11,14,9,366,Strength Training,Processed Foods,26-35,East,27.6,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Mild Retinopathy,Vegetarian,Snacks,"Barley Risotto, Chole with Bhatura, Rajma Curry, Rava Idli, Spinach Rice, Vegetable Handvo",45,11,10,6,320,Yoga,Processed Foods,60+,West,27.5,Get enough sleep to support overall health.,Sunday
Mild Retinopathy,Vegan,Breakfast,"Chickpea Curry, Kadhi with Rice, Masala Idli, Palak Paneer, Quinoa Salad, Spinach Khichdi",31,6,19,13,518,Yoga,Soft Drinks,18-25,East,26.7,Practice mindfulness and stress-reducing activities.,Monday
No retinopathy,Vegan,Dinner,"Chicken Stew, Egg Muffins, Kadhi with Rice, Masala Egg Toast, Sprouted Chana Salad, Vegetable Daliya",33,8,11,7,444,Strength Training,Excess Salt,60+,West,18.8,Avoid skipping meals and maintain consistent meal timings.,Tuesday
Severe Retinopathy,Vegan,Lunch,"Barley Risotto, Dhokla, Methi Thepla, Palak Kofta, Palak Paneer, Ragi Dosa",37,10,17,13,513,Cycling,Deep Fried Items,18-25,North,23.7,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Chicken Sandwich, Fish Korma, Masala Makhanas, Moong Dal Chilla, Turkey Kebab, Vegetable Daliya",41,9,19,6,383,Strength Training,Soft Drinks,60+,Central,18.6,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Proliferative Retinopathy,Vegetarian,Dinner,"Cucumber Raita, Kadhi Pakora, Masala Egg Toast, Masala Papad, Paneer Cutlet, Roasted Foxnuts",33,10,11,10,262,Strength Training,Soft Drinks,18-25,East,21.7,Get enough sleep to support overall health.,Tuesday
No retinopathy,Vegetarian,Dinner,"Barnyard Millet Pongal, Boiled Egg Salad, Grilled Salmon, Palak Paneer, Rajma Curry, Sprouted Chana Salad",51,12,11,15,323,Cycling,Excess Salt,60+,Central,20.8,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Proliferative Retinopathy,Vegan,Snacks,"Barley Risotto, Chia Pudding, Lauki Curry, Methi Thepla, Palak Paneer, Roasted Foxnuts",48,10,21,14,386,Strength Training,Soft Drinks,18-25,North,28.3,Keep a food diary to monitor your eating habits.,Monday
No retinopathy,Non Vegetarian,Snacks,"Coconut Chutney, Masoor Dal, Paneer Cutlet, Spinach Rice, Vegetable Daliya, Vegetable Upma",30,11,14,9,440,Swimming,Deep Fried Items,46-60,East,28.9,Avoid skipping meals and maintain consistent meal timings.,Monday
No retinopathy,Vegetarian,Lunch,"Avocado Toast, Chana Sundal, Multigrain Sandwich, Palak Kofta, Tofu Stir Fry, Vegetable Daliya",43,13,21,8,382,Stretching,Excess Salt,18-25,West,19,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Severe Retinopathy,Non Vegetarian,Dinner,"Baingan Bharta, Lauki Curry, Moong Dal Chilla, Multigrain Sandwich, Mutton Seekh, Vegetable Upma",33,6,17,9,477,Swimming,Excess Salt,46-60,Central,18.6,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Bisi Bele Bath, Boiled Egg Salad, Chickpea Curry, Chole with Bhatura, Poha, Vegetable Daliya",32,14,11,8,415,Swimming,Excess Salt,60+,North,19.3,Limit your intake of caffeine and alcohol.,Friday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Cucumber Raita, Lauki Kofta, Masoor Dal, Millet Porridge, Rajma Curry, Sweet Potato Hash",36,7,13,6,359,Cycling,Excess Salt,26-35,East,23.7,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Mild Retinopathy,Non Vegetarian,Breakfast,"Egg Paratha, Fish Korma, Jeera Rice, Masala Idli, Masala Makhanas, Mutton Biryani",47,8,13,12,511,Brisk Walking,Sugary Foods,26-35,East,24.4,Limit your intake of caffeine and alcohol.,Monday
Mild Retinopathy,Non Vegetarian,Lunch,"Fish Curry, Green Gram Curry, Lauki Curry, Masala Egg Toast, Pumpkin Dal, Sweet Potato Hash",44,9,10,14,366,Stretching,Excess Salt,60+,North,26,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Moderate Retinopathy,Vegetarian,Breakfast,"Aloo Paratha, Barley Risotto, Chana Sundal, Egg Paratha, Poha, Ragi Dosa",36,6,18,12,289,Stretching,Refined Flour,36-45,East,28.9,Keep a food diary to monitor your eating habits.,Thursday
Mild Retinopathy,Vegan,Dinner,"Egg Bhurji, Egg Paratha, Jeera Rice, Masala Egg Toast, Vegan Dum Biryani, Vegetable Upma",35,13,11,14,419,Strength Training,Refined Flour,26-35,West,19.8,Keep a food diary to monitor your eating habits.,Wednesday
Moderate Retinopathy,Vegetarian,Snacks,"Boiled Egg Salad, Kadhi Pakora, Paneer Cutlet, Pumpkin Dal, Pumpkin Soup, Roasted Foxnuts",52,9,16,10,460,Strength Training,Processed Foods,46-60,North,20,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Proliferative Retinopathy,Vegetarian,Dinner,"Boiled Egg Salad, Chole with Bhatura, Kadhi with Rice, Masala Egg Toast, Ragi Dosa, Spinach Rice",37,14,19,12,478,Swimming,Soft Drinks,18-25,East,19.6,Limit your intake of caffeine and alcohol.,Sunday
Mild Retinopathy,Vegan,Breakfast,"Fish Korma, Grilled Salmon, Masala Makhanas, Methi Thepla, Mutton Seekh, Rajma Curry",46,12,20,15,444,Cycling,Soft Drinks,18-25,South,24.4,Get enough sleep to support overall health.,Tuesday
No retinopathy,Non Vegetarian,Snacks,"Avocado Toast, Cucumber Raita, Egg Bhurji, Egg Paratha, Oats Chilla, Turkey Kebab",32,8,13,14,416,Cycling,Soft Drinks,18-25,North,24.1,Limit your intake of caffeine and alcohol.,Thursday
No retinopathy,Vegan,Lunch,"Chicken Sandwich, Chicken Stew, Chole with Bhatura, Egg Paratha, Poha, Spinach Khichdi",47,13,20,6,340,Yoga,Refined Flour,26-35,West,22.5,Exercise regularly to maintain healthy weight and sugar levels.,Thursday
Severe Retinopathy,Vegetarian,Breakfast,"Baingan Bharta, Boiled Egg Salad, Chickpea Curry, Millet Porridge, Stuffed Tinda, Tofu Stir Fry",30,8,22,7,320,Swimming,Deep Fried Items,46-60,West,19.4,Get enough sleep to support overall health.,Sunday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Cabbage Stir Fry, Gatte ki Sabzi, Palak Kofta, Pumpkin Soup, Stuffed Tinda, Tandoori Chicken",39,14,12,15,513,Yoga,Excess Salt,26-35,Central,24.1,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
Moderate Retinopathy,Non Vegetarian,Snacks,"Chia Pudding, Kadhi Pakora, Poha, Sweet Potato Hash, Vegetable Daliya, Vegetable Upma",44,12,10,12,269,Brisk Walking,Soft Drinks,18-25,South,18.5,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Sunday
Moderate Retinopathy,Vegetarian,Breakfast,"Chole with Bhatura, Jeera Rice, Kadhi with Rice, Pumpkin Soup, Ragi Dosa, Spinach Khichdi",46,7,13,14,386,Strength Training,Deep Fried Items,18-25,North,28.8,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
No retinopathy,Non Vegetarian,Dinner,"Chana Sundal, Lauki Kofta, Moong Dal Chilla, Pumpkin Soup, Ragi Dosa, Tomato Shorba",52,7,21,10,431,Brisk Walking,Deep Fried Items,26-35,Central,23.7,Avoid skipping meals and maintain consistent meal timings.,Tuesday
Mild Retinopathy,Vegan,Breakfast,"Baingan Bharta, Jeera Rice, Masala Egg Toast, Masala Papad, Pumpkin Dal, Tomato Shorba",34,9,16,5,474,Stretching,Deep Fried Items,46-60,Central,19.3,"Eat small, frequent meals to maintain blood sugar levels.",Friday
